Animal	treatment	genetics	tank	dose	TE	Outcome								
219	PH	2	9	1	5	0								
220	PH	2	9	1	5	0								
221	PH	2	9	1	5	0								
222	PH	2	9	1	5	0								
223	PH	2	9	1	5	0								
224	PH	2	9	1	5	0								
225	PH	2	9	1	5	0								
226	PH	2	9	1	5	0								
227	PH	2	9	1	5	0								
228	PH	2	9	1	5	0								
229	PH	2	9	1	5	0								
230	PH	2	9	1	5	0								
231	PH	2	9	1	5	0								
232	PH	2	9	1	5	0								
233	PH	2	9	1	5	0								
234	PH	2	9	1	5	0								
235	PH	2	9	1	5	0								
236	PH	2	9	1	5	0								
237	PH	2	9	1	5	0								
238	PH	2	9	1	5	0								
239	PH	2	9	1	5	0								
240	PH	2	9	1	5	0								
241	Control	3	13	1	5	0								
242	Control	3	13	1	5	0								
243	Control	3	13	1	5	0								
244	Control	3	13	1	5	0								
245	Control	3	13	1	5	0								
246	Control	3	13	1	5	0								
247	Control	3	13	1	5	0								
248	Control	3	13	1	5	0								
249	Control	3	13	1	5	0								
250	Control	3	13	1	5	0								
251	Control	3	13	1	5	0								
252	Control	3	13	1	5	0								
253	Control	3	13	1	5	0								
254	Control	3	13	1	5	0								
255	Control	3	13	1	5	0								
256	Control	3	13	1	5	0								
257	Control	3	13	1	5	0								
258	Control	3	13	1	5	0								
259	Control	3	13	1	5	0								
260	Control	3	13	1	5	0								
261	Control	3	13	1	5	0								
262	Control	3	13	1	5	0								
263	Control	3	13	1	5	0								
264	Control	3	13	1	5	0								
265	Control	3	13	1	5	0								
266	Control	3	13	1	5	0								
267	Control	3	13	1	5	0								
268	Control	3	13	1	5	0								
269	Control	3	13	1	5	0								
270	Control	3	13	1	5	0								
271	Control	3	13	1	5	0								
272	Control	3	13	1	5	0								
273	Control	3	13	1	5	0								
274	Control	3	13	1	5	0								
275	Control	3	13	1	5	0								
276	Control	3	13	1	5	0								
277	Control	3	13	1	5	0								
278	Control	3	13	1	5	0								
279	Control	3	13	1	5	0								
280	Control	3	13	1	5	0								
281	Probiotic	3	14	1	5	0								
282	Probiotic	3	14	1	5	0								
283	Probiotic	3	14	1	5	0								
284	Probiotic	3	14	1	5	0								
285	Probiotic	3	14	1	5	0								
286	Probiotic	3	14	1	5	0								
287	Probiotic	3	14	1	5	0								
288	Probiotic	3	14	1	5	0								
289	Probiotic	3	14	1	5	0								
290	Probiotic	3	14	1	5	0								
291	Probiotic	3	14	1	5	0								
292	Probiotic	3	14	1	5	0								
293	Probiotic	3	14	1	5	0								
294	Probiotic	3	14	1	5	0								
295	Probiotic	3	14	1	5	0								
296	Probiotic	3	14	1	5	0								
297	Probiotic	3	14	1	5	0								
298	Probiotic	3	14	1	5	0								
299	Probiotic	3	14	1	5	0								
300	Probiotic	3	14	1	5	0								
301	Probiotic	3	14	1	5	0								
302	Probiotic	3	14	1	5	0								
303	Probiotic	3	14	1	5	0								
304	Probiotic	3	14	1	5	0								
305	Probiotic	3	14	1	5	0								
306	Probiotic	3	14	1	5	0								
307	Probiotic	3	14	1	5	0								
308	Probiotic	3	14	1	5	0								
309	Probiotic	3	14	1	5	0								
310	Probiotic	3	14	1	5	0								
311	Probiotic	3	14	1	5	0								
312	Probiotic	3	14	1	5	0								
313	Probiotic	3	14	1	5	0								
314	Probiotic	3	14	1	5	0								
315	Probiotic	3	14	1	5	0								
316	Probiotic	3	14	1	5	0								
317	Probiotic	3	14	1	5	0								
318	Probiotic	3	14	1	5	0								
319	Probiotic	3	14	1	5	0								
320	Probiotic	3	14	1	5	0								
321	PH	3	15	1	5	0								
322	PH	3	15	1	5	0								
323	PH	3	15	1	5	0								
324	PH	3	15	1	5	0								
325	PH	3	15	1	5	0								
326	PH	3	15	1	5	0								
327	PH	3	15	1	5	0								
328	PH	3	15	1	5	0								
329	PH	3	15	1	5	0								
330	PH	3	15	1	5	0								
331	PH	3	15	1	5	0								
332	PH	3	15	1	5	0								
333	PH	3	15	1	5	0								
334	PH	3	15	1	5	0								
335	PH	3	15	1	5	0								
336	PH	3	15	1	5	0								
337	PH	3	15	1	5	0								
338	PH	3	15	1	5	0								
339	PH	3	15	1	5	0								
340	PH	3	15	1	5	0								
341	PH	3	15	1	5	0								
342	PH	3	15	1	5	0								
343	PH	3	15	1	5	0								
344	PH	3	15	1	5	0								
345	PH	3	15	1	5	0								
346	PH	3	15	1	5	0								
347	PH	3	15	1	5	0								
348	PH	3	15	1	5	0								
349	PH	3	15	1	5	0								
350	PH	3	15	1	5	0								
351	PH	3	15	1	5	0								
352	PH	3	15	1	5	0								
353	PH	3	15	1	5	1								
354	PH	3	15	1	5	1								
355	PH	3	15	1	5	1								
356	PH	3	15	1	5	1								
357	PH	3	15	1	5	1								
358	PH	3	15	1	5	1								
359	PH	3	15	1	5	1								
360	PH	3	15	1	5	1								
361	Heat	3	17	1	5	1								
362	Heat	3	17	1	5	1								
363	Heat	3	17	1	5	1								
364	Heat	3	17	1	5	1								
365	Heat	3	17	1	5	1								
366	Heat	3	17	1	5	1								
367	Heat	3	17	1	5	0								
368	Heat	3	17	1	5	0								
369	Heat	3	17	1	5	0								
370	Heat	3	17	1	5	0								
371	Heat	3	17	1	5	0								
372	Heat	3	17	1	5	0								
373	Heat	3	17	1	5	0								
374	Heat	3	17	1	5	0								
375	Heat	3	17	1	5	0								
376	Heat	3	17	1	5	0								
377	Heat	3	17	1	5	0								
378	Heat	3	17	1	5	0								
379	Heat	3	17	1	5	0								
380	Heat	3	17	1	5	0								
381	Heat	3	17	1	5	0								
382	Heat	3	17	1	5	0								
383	Heat	3	17	1	5	0								
384	Heat	3	17	1	5	0								
385	Heat	3	17	1	5	0								
386	Heat	3	17	1	5	0								
387	Heat	3	17	1	5	0								
388	Heat	3	17	1	5	0								
389	Heat	3	17	1	5	0								
390	Heat	3	17	1	5	0								
391	Heat	3	17	1	5	0								
392	Heat	3	17	1	5	0								
393	Heat	3	17	1	5	0								
394	Heat	3	17	1	5	0								
395	Heat	3	17	1	5	0								
396	Heat	3	17	1	5	0								
397	Heat	3	17	1	5	0								
398	Heat	3	17	1	5	1								
399	Heat	3	17	1	5	1								
400	Heat	3	17	1	5	1								
401	Probiotic	4	20	1	5	0								
402	Probiotic	4	20	1	5	0								
403	Probiotic	4	20	1	5	0								
404	Probiotic	4	20	1	5	0								
405	Probiotic	4	20	1	5	0								
406	Probiotic	4	20	1	5	0								
407	Probiotic	4	20	1	5	0								
408	Probiotic	4	20	1	5	0								
409	Probiotic	4	20	1	5	0								
410	Probiotic	4	20	1	5	0								
411	Probiotic	4	20	1	5	0								
412	Probiotic	4	20	1	5	0								
413	Probiotic	4	20	1	5	0								
414	Probiotic	4	20	1	5	0								
415	Probiotic	4	20	1	5	0								
416	Probiotic	4	20	1	5	0								
417	Probiotic	4	20	1	5	0								
418	Probiotic	4	20	1	5	0								
419	Probiotic	4	20	1	5	0								
420	Probiotic	4	20	1	5	0								
421	Probiotic	4	20	1	5	0								
422	Probiotic	4	20	1	5	0								
423	Probiotic	4	20	1	5	0								
424	Probiotic	4	20	1	5	0								
425	Probiotic	4	20	1	5	0								
426	Probiotic	4	20	1	5	0								
427	Probiotic	4	20	1	5	0								
428	Probiotic	4	20	1	5	0								
429	Probiotic	4	20	1	5	0								
430	Probiotic	4	20	1	5	0								
431	Probiotic	4	20	1	5	0								
432	Probiotic	4	20	1	5	0								
433	Probiotic	4	20	1	5	0								
434	Probiotic	4	20	1	5	0								
435	Probiotic	4	20	1	5	0								
436	Probiotic	4	20	1	5	0								
437	Probiotic	4	20	1	5	0								
438	Probiotic	4	20	1	5	0								
439	Probiotic	4	20	1	5	0								
440	Probiotic	4	20	1	5	0								
441	PH	4	21	1	5	0								
442	PH	4	21	1	5	0								
443	PH	4	21	1	5	0								
444	PH	4	21	1	5	0								
445	PH	4	21	1	5	0								
446	PH	4	21	1	5	0								
447	PH	4	21	1	5	0								
448	PH	4	21	1	5	0								
449	PH	4	21	1	5	0								
450	PH	4	21	1	5	0								
451	PH	4	21	1	5	0								
452	PH	4	21	1	5	0								
453	PH	4	21	1	5	0								
454	PH	4	21	1	5	0								
455	PH	4	21	1	5	0								
456	PH	4	21	1	5	0								
457	PH	4	21	1	5	0								
458	PH	4	21	1	5	0								
459	PH	4	21	1	5	0								
460	PH	4	21	1	5	0								
461	PH	4	21	1	5	0								
462	PH	4	21	1	5	0								
463	PH	4	21	1	5	0								
464	PH	4	21	1	5	0								
465	PH	4	21	1	5	0								
466	PH	4	21	1	5	0								
467	PH	4	21	1	5	0								
468	PH	4	21	1	5	0								
469	PH	4	21	1	5	0								
470	PH	4	21	1	5	0								
471	PH	4	21	1	5	0								
472	PH	4	21	1	5	0								
473	PH	4	21	1	5	0								
474	PH	4	21	1	5	0								
475	PH	4	21	1	5	0								
476	PH	4	21	1	5	1								
477	PH	4	21	1	5	1								
478	PH	4	21	1	5	1								
479	PH	4	21	1	5	1								
480	PH	4	21	1	5	1								
481	Control	1	1	3	3	1								
482	Control	1	1	3	4	1								
483	Control	1	1	3	4	1								
484	Control	1	1	3	4	1								
485	Control	1	1	3	4	1								
486	Control	1	1	3	4	1								
487	Control	1	1	3	5	1								
488	Control	1	1	3	5	1								
489	Control	1	1	3	5	1								
490	Control	1	1	3	5	1								
491	Control	1	1	3	3	1								
492	Control	1	1	3	4	1								
493	Control	1	1	3	4	1								
494	Control	1	1	3	4	1								
495	Control	1	1	3	4	1								
496	Control	1	1	3	4	1								
497	Control	1	1	3	4	1								
498	Control	1	1	3	4	1								
499	Control	1	1	3	4	1								
500	Control	1	1	3	5	1								
501	Control	1	1	3	4	1								
502	Control	1	1	3	4	1								
503	Control	1	1	3	4	1								
504	Control	1	1	3	4	1								
505	Control	1	1	3	4	1								
506	Control	1	1	3	4	1								
507	Control	1	1	3	4	1								
508	Control	1	1	3	4	1								
509	Control	1	1	3	5	1								
510	Control	1	1	3	5	1								
511	Control	1	1	3	4	1								
512	Control	1	1	3	4	1								
513	Control	1	1	3	5	1								
514	Control	1	1	3	5	1								
515	Control	1	1	3	5	1								
516	Control	1	1	3	5	1								
517	Control	1	1	3	5	0								
518	Control	1	1	3	5	0								
519	Control	1	1	3	5	0								
520	Control	1	1	3	5	0								
521	Probiotic	1	2	3	4	1								
522	Probiotic	1	2	3	4	1								
523	Probiotic	1	2	3	4	1								
524	Probiotic	1	2	3	4	1								
525	Probiotic	1	2	3	5	1								
526	Probiotic	1	2	3	5	1								
527	Probiotic	1	2	3	5	0								
528	Probiotic	1	2	3	5	0								
529	Probiotic	1	2	3	5	0								
530	Probiotic	1	2	3	5	0								
531	Probiotic	1	2	3	4	1								
532	Probiotic	1	2	3	4	1								
533	Probiotic	1	2	3	4	1								
534	Probiotic	1	2	3	4	1								
535	Probiotic	1	2	3	4	1								
536	Probiotic	1	2	3	5	1								
537	Probiotic	1	2	3	5	1								
538	Probiotic	1	2	3	5	1								
539	Probiotic	1	2	3	5	0								
540	Probiotic	1	2	3	5	0								
541	Probiotic	1	2	3	4	1								
542	Probiotic	1	2	3	4	1								
543	Probiotic	1	2	3	4	1								
544	Probiotic	1	2	3	5	1								
545	Probiotic	1	2	3	5	1								
546	Probiotic	1	2	3	5	1								
547	Probiotic	1	2	3	5	1								
548	Probiotic	1	2	3	5	0								
549	Probiotic	1	2	3	5	0								
550	Probiotic	1	2	3	5	0								
551	Probiotic	1	2	3	4	1								
552	Probiotic	1	2	3	4	1								
553	Probiotic	1	2	3	5	1								
554	Probiotic	1	2	3	5	1								
555	Probiotic	1	2	3	5	1								
556	Probiotic	1	2	3	5	0								
557	Probiotic	1	2	3	5	0								
558	Probiotic	1	2	3	5	0								
559	Probiotic	1	2	3	5	0								
560	Probiotic	1	2	3	5	0								
561	PH	1	3	3	5	1								
562	PH	1	3	3	5	1								
563	PH	1	3	3	5	1								
564	PH	1	3	3	5	1								
565	PH	1	3	3	5	1								
566	PH	1	3	3	5	0								
567	PH	1	3	3	5	0								
568	PH	1	3	3	5	0								
569	PH	1	3	3	5	0								
570	PH	1	3	3	5	0								
571	PH	1	3	3	5	0								
572	PH	1	3	3	5	0								
573	PH	1	3	3	5	0								
574	PH	1	3	3	5	0								
575	PH	1	3	3	5	0								
576	PH	1	3	3	5	0								
577	PH	1	3	3	5	0								
578	PH	1	3	3	5	0								
579	PH	1	3	3	5	0								
580	PH	1	3	3	5	0								
581	PH	1	3	3	4	1								
582	PH	1	3	3	4	1								
583	PH	1	3	3	4	1								
584	PH	1	3	3	4	1								
585	PH	1	3	3	4	1								
586	PH	1	3	3	4	1								
587	PH	1	3	3	4	1								
588	PH	1	3	3	4	1								
589	PH	1	3	3	5	1								
590	PH	1	3	3	5	1								
591	PH	1	3	3	5	1								
592	PH	1	3	3	5	1								
593	PH	1	3	3	5	1								
594	PH	1	3	3	5	0								
595	PH	1	3	3	5	0								
596	PH	1	3	3	5	0								
597	PH	1	3	3	5	0								
598	PH	1	3	3	5	0								
599	PH	1	3	3	5	0								
600	PH	1	3	3	5	0								
601	Control	2	7	3	4	1								
602	Control	2	7	3	5	1								
603	Control	2	7	3	5	1								
604	Control	2	7	3	5	1								
605	Control	2	7	3	5	1								
606	Control	2	7	3	5	1								
607	Control	2	7	3	5	1								
608	Control	2	7	3	5	1								
609	Control	2	7	3	5	0								
610	Control	2	7	3	5	0								
611	Control	2	7	3	4	1								
612	Control	2	7	3	4	1								
613	Control	2	7	3	4	1								
614	Control	2	7	3	4	1								
615	Control	2	7	3	4	1								
616	Control	2	7	3	4	1								
617	Control	2	7	3	4	1								
618	Control	2	7	3	4	1								
619	Control	2	7	3	5	1								
620	Control	2	7	3	5	1								
621	Control	2	7	3	4	1								
622	Control	2	7	3	4	1								
623	Control	2	7	3	4	1								
624	Control	2	7	3	5	1								
625	Control	2	7	3	5	1								
626	Control	2	7	3	5	1								
627	Control	2	7	3	5	1								
628	Control	2	7	3	5	1								
629	Control	2	7	3	5	1								
630	Control	2	7	3	5	0								
631	Control	2	7	3	4	1								
632	Control	2	7	3	4	1								
633	Control	2	7	3	4	1								
634	Control	2	7	3	4	1								
635	Control	2	7	3	4	1								
636	Control	2	7	3	4	1								
637	Control	2	7	3	4	1								
638	Control	2	7	3	5	1								
639	Control	2	7	3	5	1								
640	Control	2	7	3	5	1								
641	Probiotic	2	8	3	5	1								
642	Probiotic	2	8	3	5	0								
643	Probiotic	2	8	3	5	0								
644	Probiotic	2	8	3	5	0								
645	Probiotic	2	8	3	5	0								
646	Probiotic	2	8	3	5	0								
647	Probiotic	2	8	3	5	0								
648	Probiotic	2	8	3	5	0								
649	Probiotic	2	8	3	5	0								
650	Probiotic	2	8	3	5	0								
651	Probiotic	2	8	3	4	1								
652	Probiotic	2	8	3	4	1								
653	Probiotic	2	8	3	4	1								
654	Probiotic	2	8	3	5	1								
655	Probiotic	2	8	3	5	1								
656	Probiotic	2	8	3	5	1								
657	Probiotic	2	8	3	5	0								
658	Probiotic	2	8	3	5	0								
659	Probiotic	2	8	3	5	0								
660	Probiotic	2	8	3	5	0								
661	Probiotic	2	8	3	4	1								
662	Probiotic	2	8	3	4	1								
663	Probiotic	2	8	3	4	1								
664	Probiotic	2	8	3	4	1								
665	Probiotic	2	8	3	5	1								
666	Probiotic	2	8	3	5	1								
667	Probiotic	2	8	3	5	0								
668	Probiotic	2	8	3	5	0								
669	Probiotic	2	8	3	5	0								
670	Probiotic	2	8	3	5	0								
671	Probiotic	2	8	3	4	1								
672	Probiotic	2	8	3	4	1								
673	Probiotic	2	8	3	4	1								
674	Probiotic	2	8	3	5	1								
675	Probiotic	2	8	3	5	1								
676	Probiotic	2	8	3	5	0								
677	Probiotic	2	8	3	5	0								
678	Probiotic	2	8	3	5	0								
679	Probiotic	2	8	3	5	0								
680	Probiotic	2	8	3	5	0								
681	PH	2	9	3	4	1								
682	PH	2	9	3	5	1								
683	PH	2	9	3	5	1								
684	PH	2	9	3	5	0								
685	PH	2	9	3	5	0								
686	PH	2	9	3	5	0								
687	PH	2	9	3	5	0								
688	PH	2	9	3	5	0								
689	PH	2	9	3	5	0								
690	PH	2	9	3	5	0								
691	PH	2	9	3	5	1								
692	PH	2	9	3	5	1								
693	PH	2	9	3	5	0								
694	PH	2	9	3	5	0								
695	PH	2	9	3	5	0								
696	PH	2	9	3	5	0								
697	PH	2	9	3	5	0								
698	PH	2	9	3	5	0								
699	PH	2	9	3	5	0								
700	PH	2	9	3	5	0								
701	PH	2	9	3	4	1								
702	PH	2	9	3	4	1								
703	PH	2	9	3	4	1								
704	PH	2	9	3	5	1								
705	PH	2	9	3	5	0								
706	PH	2	9	3	5	0								
707	PH	2	9	3	5	0								
708	PH	2	9	3	5	0								
709	PH	2	9	3	5	0								
710	PH	2	9	3	5	0								
711	PH	2	9	3	4	1								
712	PH	2	9	3	4	1								
713	PH	2	9	3	4	1								
714	PH	2	9	3	5	1								
715	PH	2	9	3	5	1								
716	PH	2	9	3	5	1								
717	PH	2	9	3	5	1								
718	PH	2	9	3	5	1								
719	PH	2	9	3	5	1								
720	PH	2	9	3	5	0								
721	Control	3	13	3	4	1								
722	Control	3	13	3	4	1								
723	Control	3	13	3	4	1								
724	Control	3	13	3	4	1								
725	Control	3	13	3	4	1								
726	Control	3	13	3	4	1								
727	Control	3	13	3	4	1								
728	Control	3	13	3	4	1								
729	Control	3	13	3	4	1								
730	Control	3	13	3	4	1								
731	Control	3	13	3	4	1								
732	Control	3	13	3	4	1								
733	Control	3	13	3	4	1								
734	Control	3	13	3	4	1								
735	Control	3	13	3	4	1								
736	Control	3	13	3	4	1								
737	Control	3	13	3	4	1								
738	Control	3	13	3	4	1								
739	Control	3	13	3	5	1								
740	Control	3	13	3	5	1								
741	Control	3	13	3	4	1								
742	Control	3	13	3	4	1								
743	Control	3	13	3	4	1								
744	Control	3	13	3	5	1								
745	Control	3	13	3	5	1								
746	Control	3	13	3	5	1								
747	Control	3	13	3	5	1								
748	Control	3	13	3	5	1								
749	Control	3	13	3	5	1								
750	Control	3	13	3	5	1								
751	Control	3	13	3	4	1								
752	Control	3	13	3	4	1								
753	Control	3	13	3	4	1								
754	Control	3	13	3	5	1								
755	Control	3	13	3	5	1								
756	Control	3	13	3	5	1								
757	Control	3	13	3	5	1								
758	Control	3	13	3	5	1								
759	Control	3	13	3	5	1								
760	Control	3	13	3	5	0								
761	Probiotic	3	14	3	4	1								
762	Probiotic	3	14	3	4	1								
763	Probiotic	3	14	3	4	1								
764	Probiotic	3	14	3	4	1								
765	Probiotic	3	14	3	4	1								
766	Probiotic	3	14	3	4	1								
767	Probiotic	3	14	3	4	1								
768	Probiotic	3	14	3	4	1								
769	Probiotic	3	14	3	4	1								
770	Probiotic	3	14	3	4	1								
771	Probiotic	3	14	3	3	1								
772	Probiotic	3	14	3	4	1								
773	Probiotic	3	14	3	4	1								
774	Probiotic	3	14	3	4	1								
775	Probiotic	3	14	3	4	1								
776	Probiotic	3	14	3	4	1								
777	Probiotic	3	14	3	5	1								
778	Probiotic	3	14	3	5	1								
779	Probiotic	3	14	3	5	1								
780	Probiotic	3	14	3	5	1								
781	Probiotic	3	14	3	4	1								
782	Probiotic	3	14	3	4	1								
783	Probiotic	3	14	3	4	1								
784	Probiotic	3	14	3	4	1								
785	Probiotic	3	14	3	5	1								
786	Probiotic	3	14	3	5	1								
787	Probiotic	3	14	3	5	1								
788	Probiotic	3	14	3	5	1								
789	Probiotic	3	14	3	5	1								
790	Probiotic	3	14	3	5	1								
791	Probiotic	3	14	3	4	1								
792	Probiotic	3	14	3	4	1								
793	Probiotic	3	14	3	4	1								
794	Probiotic	3	14	3	4	1								
795	Probiotic	3	14	3	4	1								
796	Probiotic	3	14	3	4	1								
797	Probiotic	3	14	3	4	1								
798	Probiotic	3	14	3	4	1								
799	Probiotic	3	14	3	5	1								
800	Probiotic	3	14	3	5	1								
801	PH	3	15	3	4	1								
802	PH	3	15	3	4	1								
803	PH	3	15	3	4	1								
804	PH	3	15	3	4	1								
805	PH	3	15	3	4	1								
806	PH	3	15	3	4	1								
807	PH	3	15	3	4	1								
808	PH	3	15	3	4	1								
809	PH	3	15	3	4	1								
810	PH	3	15	3	5	1								
811	PH	3	15	3	4	1								
812	PH	3	15	3	4	1								
813	PH	3	15	3	4	1								
814	PH	3	15	3	4	1								
815	PH	3	15	3	4	1								
816	PH	3	15	3	4	1								
